keys,en,de
GGJ2026_MENU_ANWENDEN,Apply,Anwenden
GGJ2026_MENU_BAD_ENDING,"Bad Ending, try again!","Schlechtes ende, versuchs nochmal!"
GGJ2026_MENU_CONTINUE,Continue,Weiter
GGJ2026_MENU_EINSTELLUNGEN,Settings,Einstellungen
GGJ2026_MENU_EXIT_TO_MENU,To Titlescreen,Zum Hauptmenü
GGJ2026_MENU_GOOD_ENDING,"Good Ending, well done!","Gutes ende, gut gemacht!"
GGJ2026_MENU_JA,Yes,Ja
GGJ2026_MENU_LADEN,Load,Laden
GGJ2026_MENU_NEIN,No,Nein
GGJ2026_MENU_NEUE_MASKE_AFRAID,Unlocked emotion: [color=gray][outline_size=2][outline_color=white]Fear,Emotion freigeschaltet: [color=gray][outline_size=2][outline_color=white]Angst
GGJ2026_MENU_NEUE_MASKE_ANGRY,Unlocked emotion: [color=crimson][outline_size=2][outline_color=white]Anger,Emotion freigeschaltet: [color=crimson][outline_size=2][outline_color=white]Wut
GGJ2026_MENU_NEUE_MASKE_HAPPY,Unlocked emotion: [color=mediumspringgreen][outline_size=2][outline_color=white]Happiness,Emotion freigeschaltet: [color=mediumspringgreen][outline_size=2][outline_color=white]Fröhlichkeit
GGJ2026_MENU_NEUE_MASKE_LOVING,Unlocked emotion: [color=violet][outline_size=2][outline_color=white]Love,Emotion freigeschaltet: [color=violet][outline_size=2][outline_color=white]Liebe
GGJ2026_MENU_NEUE_MASKE_NULL,You have not learned any new Emotions,Du hast keine neuen Emotionen Freigeschaltet
GGJ2026_MENU_NEUE_MASKE_SAD,Unlocked emotion: [color=dodgerblue][outline_size=2][outline_color=white]Sadness,Emotion freigeschaltet: [color=dodgerblue][outline_size=2][outline_color=white]Traurigkeit
GGJ2026_MENU_NEUE_MASKE_SURPRISED,Unlocked emotion: [color=gold][outline_size=2][outline_color=white]Surprise,Emotion freigeschaltet: [color=gold][outline_size=2][outline_color=white]Überraschung
GGJ2026_MENU_NEUE_MASKE_THANKFUL,Unlocked emotion: [color=turquoise][outline_size=2][outline_color=white]Thankfulness,Emotion freigeschaltet: [color=gray][outline_size=2][outline_color=white]Dankbarkeit
GGJ2026_MENU_NEXT_DAY,Next Day,Nächster Tag
GGJ2026_MENU_PAUSE,--- PAUSED ---,--- PAUSIERT ---
GGJ2026_MENU_SCHLIESSEN,Close,Schließen
GGJ2026_MENU_START,Start,Start
GGJ2026_MENU_TAGESENDE,Another day ends,Ein weiterer Tag geht zuende
GGJ2026_MENU_TITELNAME,"[font_size=32][outline_size=2][outline_color=black]Going Through Emotions
[/outline_color][/outline_size][/font_size]","[font_size=32][outline_size=2][outline_color=black]Going Through Emotions
[/outline_color][/outline_size][/font_size]"
GGJ2026_MENU_TRY_AGAIN,Try Again,Neuer Versuch
GGJ2026_MENU_VERLASSEN,Quit,Verlassen
GGJ2026_MENU_VERLASSEN_INHALT,"You are currently trying to quit this awesome and super interesting game that you have right in front of you, are you sure that you REALLY REALLY want to leave us all alone??","Du versuchst gerade dieses wunderschöne und superinteressante Spiel vor dir zu Verlassen, bist du dir WIRKLICH sicher das du uns alleine lassen willst?"
GGJ2026_MENU_VERLASSEN_TITEL,[color=red]WEEEE [color=yellow]WOOO [color=red]WEEE [color=yellow]WOOO,[color=red]WEEEE [color=yellow]WOOO [color=red]WEEE [color=yellow]WOOO
GGJ2026_SPEAKER_BOSS,Boss,Vorgesetzter
GGJ2026_SPEAKER_CHILD,Child,Kind
GGJ2026_SPEAKER_COLLEAGUE,Colleague,Kollege
GGJ2026_SPEAKER_DOG,Dog,Hund
GGJ2026_SPEAKER_MOBBED_COLLEAGUE,Mobbed colleague,Gemobbter Kollege
GGJ2026_SPEAKER_OLD_LADY,Old Lady,Alter Frau
GGJ2026_SPEAKER_PLAYER,Player,Spieler
GGJ2026_DIALOG_WAKEUP_DIALOG_DIALOG_LINE_1769879845325_5LHVNK,Ring! Ring!,Ring! Ring!
GGJ2026_DIALOG_WAKEUP_DIALOG_DIALOG_LINE_1769879940323_GS45LK,Time to get up.,Zeit aufzustehen!
GGJ2026_DIALOG_WAKEUP_DIALOG_DIALOG_LINE_1769880854882_Z4IZ8A,You don't really feel like getting up...,Du willst noch nicht aufstehen...
GGJ2026_DIALOG_WAKEUP_DIALOG_DIALOG_LINE_1769896100239_T3YZDS,Ring! Ring!,Ring! Ring!
GGJ2026_DIALOG_WAKEUP_DIALOG_DIALOG_LINE_1769896103105_MNMJSN,Time to get up. Again... ,Zeit aufzustehen. Schon wieder Morgen...
GGJ2026_DIALOG_WAKEUP_DIALOG_DIALOG_LINE_1769896242796_QBVUUM,Ring! Ring!,Ring! Ring!
GGJ2026_DIALOG_WAKEUP_DIALOG_DIALOG_LINE_1769896245224_39JHCG,Time to get up! Another day again. Another day of work...,Zeit aufzustehen. Schon wieder Morgen. Schon wieder Arbeit...
GGJ2026_DIALOG_WAKEUP_DIALOG_DIALOG_LINE_1769897294162_BMCJEF,You crawl out of bed and get ready for work.,Du schälst dich aus dem Bett und machst dich fertig für die Arbeit.
GGJ2026_DIALOG_WAKEUP_DIALOG_DIALOG_LINE_1769897367589_Q1J3M5,You have the feeling maybe your phone rang at some point...,"Dumpf hast du das Gefühl, dein Telefon hat irgendwann geklingelt..."
GGJ2026_DIALOG_WAKEUP_DIALOG_OPTION_1769880685564_V8P6NC,Get up.,Steh auf.
GGJ2026_DIALOG_WAKEUP_DIALOG_OPTION_1769880722012_NOLYAT,Continue sleeping.,Schlaf weiter.
GGJ2026_DIALOG_WAKEUP_DIALOG_OPTION_1769896183869_YDTFE0,Get up.,Steh auf.
GGJ2026_DIALOG_WAKEUP_DIALOG_OPTION_1769896195402_3L8BVJ,Stay in Bed.,Bleib im Bett.
GGJ2026_DIALOG_WAKEUP_DIALOG_OPTION_1769897119639_RALWH1,Get your coat and leave.,Du nimmst deine Jacke und gehst.
GGJ2026_DIALOG_KOPIERER_DIALOG_LINE_1769881180424_JRE32V,This thing stops working as soon as you need it. It's been like this so long you forget what it's like not to have to argue with your office supplies.,"Das Teil klappt nie, wenn du es brauchst. Das geht schon so lange so, dass du dich nicht erinnerst, dass im Büro irgendwann mal alles funktioniert hätte."
GGJ2026_DIALOG_KOPIERER_DIALOG_LINE_1769881268931_K2GHW4,*Thump*,*Klonk*
GGJ2026_DIALOG_KOPIERER_DIALOG_LINE_1769881274713_U976KT,The printer still doesn't work.,Der Drucker klappt immer noch nicht.
GGJ2026_DIALOG_KOPIERER_DIALOG_LINE_1769881302141_DM2KKF,You actually have work to do. Someone else can take care of this if they want to.,Du hast tatsächlich Tasks abzuarbeiten. Um den Drucker kann sich jemand anderes kümmern.
GGJ2026_DIALOG_KOPIERER_DIALOG_LINE_1769933948166_YISWA7,...,...
GGJ2026_DIALOG_KOPIERER_DIALOG_LINE_1769934049731_2JIZ0H,"Okay, let's see here...","Okay, schauen wir mal..."
GGJ2026_DIALOG_KOPIERER_DIALOG_LINE_1769934078842_LVIAPR,You check the error message and do a quick search for causes.,Du liest dir die Fehlernachricht durch und suchst nach der Nummer im Internet.
GGJ2026_DIALOG_KOPIERER_DIALOG_LINE_1769934396567_1S781K,...,...
GGJ2026_DIALOG_KOPIERER_DIALOG_LINE_1769934416182_KT18IP,You restart the printer.,Du startest den Drucker neu.
GGJ2026_DIALOG_KOPIERER_DIALOG_LINE_1769934457051_7EHGC9,"It takes a relative age. When it's done running updates, the printer starts working down the list of documents in queue.","Es dauert eine gefühlte Ewigkeit. Wenn die Updates alle durch sind, fängt der Drucker an, die Queue an offenen Aufträgen auszudrucken."
GGJ2026_DIALOG_KOPIERER_DIALOG_LINE_1769934661694_TZ815M,...,...
GGJ2026_DIALOG_KOPIERER_DIALOG_LINE_1769934683957_AY0V93,You can't believe no one thought to do this before.,"Du kannst nicht glauben, dass das echt noch niemand versucht hat."
GGJ2026_DIALOG_KOPIERER_DIALOG_LINE_1769934711646_K7RS6R,Apparently your coworkers can't either. There's an embarrassed silence while everyone looks on as the printer busily works away.,Deine Kollegen können es scheinbar auch nicht glauben. Betretendes Schweigen ersetzt die übliche Geräuschkulisse während alle dem Drucker beim Drucken zuschauen.
GGJ2026_DIALOG_KOPIERER_DIALOG_LINE_1769934840335_975GUD,"Then, there's a bit of a stir as people get to cancelling old tickets and the usual office noises start back up again.","Dann geht ein Raunen durch den Raum und deine Kollegen stornieren offenkundig alte, verloren geglaubte Druckaufträge."
GGJ2026_DIALOG_KOPIERER_DIALOG_LINE_1769936999890_3CU7H8,Still working. Nice.,Klappt immer noch. Nice.
GGJ2026_DIALOG_KOPIERER_DIALOG_LINE_1769948009821_8KO37A,This printer is a reflection of the poor state of your inner world.,Dieser Drucker ist ein Sinnbild für dein Innerstes.
GGJ2026_DIALOG_KOPIERER_DIALOG_LINE_1769948035275_GRS8SK,You're not working properly.,Du funktionierst auch nicht richtig.
GGJ2026_DIALOG_KOPIERER_DIALOG_LINE_1769948082448_85FE0J,You're broken.,Du bist kaputt.
GGJ2026_DIALOG_KOPIERER_DIALOG_LINE_1769948087845_Z21DLX,This world is broken.,Diese Welt ist kaputt.
GGJ2026_DIALOG_KOPIERER_DIALOG_LINE_1769948095486_WD2C64,You start crying.,Du brichst in Tränen aus
GGJ2026_DIALOG_KOPIERER_OPTION_1769881231444_XA4NR2,Hit the printer.,Schlag mit der Faust gegen den Drucker.
GGJ2026_DIALOG_KOPIERER_OPTION_1769881246970_VW5FCV,Leave.,Geh weiter.
GGJ2026_DIALOG_KOPIERER_OPTION_1769933592466_VUQPWM,Try to fix it.,"Versuch, den Drucker zu reparieren."
GGJ2026_DIALOG_KOPIERER_OPTION_1769947977349_08Y97E,Despair.,Verzweiflung überkommt dich
GGJ2026_DIALOG_LEAVE_THE_OFFICE_DIALOG_LINE_1769881479425_4NRUMM,Where do you think you are going!,Und wo möchten Sie hin?
GGJ2026_DIALOG_LEAVE_THE_OFFICE_DIALOG_LINE_1769881493634_DX1TYO,...,...
GGJ2026_DIALOG_LEAVE_THE_OFFICE_DIALOG_LINE_1769884909081_T5W9OD,That's it then...,Das wars dann wohl...
